building_id,mean,std,pct>18,pct<15
10000,14.0166,6.3676,30.97,55.48
10009,11.0102,5.8093,16.70,74.93
10014,14.7599,7.0283,38.30,52.75
10019,14.7520,7.0205,38.19,52.89
10029,10.6225,6.3125,18.26,74.51
10031,12.5186,6.2761,24.08,66.33
10051,13.2905,5.9990,25.98,62.85
10053,11.3743,6.2590,19.96,72.39
10056,14.2215,6.1794,31.77,57.05
10064,12.7294,6.9641,28.85,62.68
10075,15.1769,6.4433,39.30,47.28
10079,15.1057,7.3103,41.94,49.39
10080,15.7885,7.2767,46.42,44.67
10082,16.4816,6.7061,48.72,40.47
10083,15.6423,7.1207,44.87,45.87
10084,15.1034,7.1499,40.92,50.25
10085,15.8719,7.1916,46.19,44.71
10086,14.4012,7.2126,37.29,52.99
10087,15.0875,7.2681,41.58,49.85
10089,14.0050,7.2688,35.51,56.31
10090,14.2923,6.6199,36.67,51.19
10093,14.1076,6.5639,33.42,56.39
10094,14.2069,6.7567,35.40,54.88
10097,14.3579,6.8642,37.84,51.27
10117,15.4680,6.6826,44.13,44.46
10119,14.0896,6.7518,35.09,54.69
10120,15.2825,8.0318,46.17,47.72
10124,13.8691,7.0317,34.57,56.05
10126,13.4008,6.6360,29.67,61.07
10128,17.4294,6.7065,56.04,34.87
10136,15.4297,7.2732,44.34,46.87
10144,12.1185,6.1262,21.84,68.85
10145,10.6628,5.8915,16.59,75.26
10150,14.9641,7.4940,41.21,50.72
10161,13.4515,7.0294,31.82,59.46
10165,13.0555,6.7320,29.07,62.05
10167,13.2345,6.8133,30.20,60.84
10168,13.1951,6.8998,30.33,60.48
10174,16.6088,6.9559,49.55,41.21
10176,16.6822,6.8425,49.90,40.57
10177,16.6480,6.7754,49.23,40.82
10180,16.5117,6.8540,48.29,42.00
10182,16.7406,6.3204,50.90,37.49
10198,14.4394,7.3450,38.67,53.18
10199,17.2548,6.9780,53.97,37.62
10200,12.8352,7.2551,30.70,61.62
10201,15.9607,7.2712,47.11,44.61
10202,13.5546,7.4954,34.07,58.62
10203,16.8163,6.6134,51.28,38.84
10204,14.7735,7.0633,39.06,51.70
10205,11.4607,6.6619,23.20,69.35
10206,10.1352,6.3586,17.56,76.30
10207,11.3984,6.6097,22.67,69.79
10208,9.5083,5.5405,11.99,82.24
1021,16.7679,6.3715,48.87,39.48
10215,15.4696,7.1490,44.26,46.59
10219,14.1594,7.2998,37.31,54.17
1022,17.7851,6.2165,57.62,31.78
1023,18.9898,5.8436,65.29,25.03
1024,18.3061,5.9301,60.61,28.85
10243,16.6147,6.2045,49.01,38.12
10244,15.5734,6.6220,44.12,43.50
10245,16.6601,6.2136,49.22,37.89
10247,15.6107,6.6200,44.66,43.11
10249,16.1271,6.2328,46.03,40.43
1025,17.5395,6.3296,56.10,33.80
10251,12.1933,7.5918,29.22,65.12
10252,12.0149,7.6019,27.51,67.01
10255,11.9445,7.2177,25.82,67.93
10257,15.2611,7.2834,40.81,51.13
10259,12.6674,7.6210,30.48,63.82
1026,18.5598,5.7104,62.04,26.71
10260,13.6828,7.2102,33.74,58.05
10262,14.7375,7.4458,39.18,53.04
10263,16.7627,7.0694,49.48,41.68
10265,15.0948,7.1657,40.85,50.50
10267,16.2781,7.4731,49.05,43.08
10268,16.9474,6.9745,51.44,39.66
10269,18.6186,6.7824,61.97,30.33
1027,14.6845,6.6519,35.72,52.54
10276,13.2260,6.9673,30.53,61.66
10277,13.5622,7.0389,32.62,59.37
10279,13.9498,7.0071,36.28,54.90
10281,13.0396,6.8731,31.38,59.96
10282,14.2663,6.7888,37.72,51.45
10285,13.9881,7.0376,35.44,56.55
10288,14.5513,6.8192,36.37,53.61
10291,12.2398,6.7314,25.20,66.19
10292,11.1960,6.4409,20.11,72.53
10303,17.6397,6.5787,55.70,34.48
10306,14.2908,7.3496,37.14,55.50
1031,12.1594,6.8471,25.79,66.42
10311,16.3623,6.5798,48.24,40.94
